task_language;rider_ml_message
"""en""";"""Thanks a lot, this helps quite a bit. Today I was lucky there was a taxi close to my hotel but this was the first unpleasant experience I had with Tango. Hope it doesn't happen again"""
"""en""";"""Driver asked to cancel the ride"""
"""es""";"""Hola"""
"""en""";"""don’t miss these upcoming events! are you a photography wizard who wants to learn from an expert? sign up for the photography masterclass with national geographic photographer ed kashi for an intensive and creative two-day experience. planning on renting out your home or buying a newly built property? whether it’s understanding mortgage requirements or legal obligations, property can seem daunting. don't miss the two free webinars by welocate! are you ready for an immersive audiovisual adventure that blurs the line between theatre and cinema? the amsterdam magical experience will take you on a spectacular journey! get your tickets! this weekend, grab your chance for guided tours of windmills all over the country during national mill day, and don't miss the dutch craft beer festival in enschede and the ij-hallen in amsterdam!view this email in your browser (https://mailchi.mp/iamexpat.nl/nl-lifestyle-may-6-2026?e=7e2b931655)i am expat logotypemay 6, 2026don’t miss these upcoming events! are you a photography wizard who wants to learn from an expert? sign up for the photography masterclass with national geographic photographer ed kashi for an intensive and creative two-day experience.planning on renting out your home or buying a newly built property? whether it’s understanding mortgage requirements or legal obligations, property can seem daunting. don't miss the two free webinars by welocate!are you ready for an immersive audiovisual adventure that blurs the line between theatre and cinema? the amsterdam magical experience will take you on a spectacular journey! get your tickets!this weekend, grab your chance for guided tours of windmills all over the country during national mill day, and don't miss the dutch craft beer festival in enschede and the ij-hallen in amsterdam!https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/national-geographic-photography-bootcamp?mc_cid=1322908b29&mc_eid=uniqidnational geographic photography bootcamp (https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/national-geographic-photography-bootcamp?mc_cid=1322908b29&mc_eid=uniqid) https://www.britishschool.nl/admissions/open-events?mc_cid=1322908b29&mc_eid=uniqidupcoming eventshttps://www.iamexpat.nl/lifestyle/events-festivals-netherlands/webinar-buying-newly-built-property-netherlands?mc_cid=1322908b29&mc_eid=uniqidwebinar: buying a newly built property in the netherlands (https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/webinar-buying-newly-built-property-netherlands?mc_cid=1322908b29&mc_eid=uniqid)onlinemay 12, 2026https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/webinar-renting-out-your-home-netherlands?mc_cid=1322908b29&mc_eid=uniqidwebinar: renting out your home in the netherlands (https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/webinar-renting-out-your-home-netherlands?mc_cid=1322908b29&mc_eid=uniqid)onlinemay 13, 2026https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/amsterdam-magical-experience?mc_cid=1322908b29&mc_eid=uniqidamsterdam magical experience (https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/amsterdam-magical-experience?mc_cid=1322908b29&mc_eid=uniqid)amsterdammay 05 - jun 27, 2026https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/ij-hallen-europes-biggest-flea-market?mc_cid=1322908b29&mc_eid=uniqidij-hallen - europe's biggest flea market (https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/ij-hallen-europes-biggest-flea-market?mc_cid=1322908b29&mc_eid=uniqid)amsterdammay 30 - dec 13, 2026https://www.britishschool.nl/admissions/open-events?mc_cid=1322908b29&mc_eid=uniqidmore eventshttps://www.iamexpat.nl/lifestyle/events-festivals-netherlands/national-mill-day?mc_cid=1322908b29&mc_eid=uniqidnational mill day (https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/national-mill-day?mc_cid=1322908b29&mc_eid=uniqid)may 09 - may 10, 2026https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/dutch-craft-beer-festival?mc_cid=1322908b29&mc_eid=uniqiddutch craft beer festival (https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/dutch-craft-beer-festival?mc_cid=1322908b29&mc_eid=uniqid)enschedemay 16, 2026https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/breda-jazz-festival?mc_cid=1322908b29&mc_eid=uniqidbreda jazz festival (https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/breda-jazz-festival?mc_cid=1322908b29&mc_eid=uniqid)bredamay 14 - may 17, 2026https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/rolling-kitchens?mc_cid=1322908b29&mc_eid=uniqidthe weekend of the rolling kitchens (https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/rolling-kitchens?mc_cid=1322908b29&mc_eid=uniqid)amsterdammay 13 - may 17, 2026 see all events (https://www.iamexpat.nl/lifestyle/events-festivals-netherlands?mc_cid=1322908b29&mc_eid=uniqid)more to explore https://www.iamexpat.nl/lifestyle/lifestyle-news/where-find-english-books-amsterdam?mc_cid=1322908b29&mc_eid=uniqidwhere to find english books in amsterdam (https://www.iamexpat.nl/lifestyle/lifestyle-news/where-find-english-books-amsterdam?mc_cid=1322908b29&mc_eid=uniqid)https://www.iamexpat.nl/lifestyle/lifestyle-news/top-breweries-amsterdam?mc_cid=1322908b29&mc_eid=uniqid12 top breweries in amsterdam (https://www.iamexpat.nl/lifestyle/lifestyle-news/top-breweries-amsterdam?mc_cid=1322908b29&mc_eid=uniqid)https://www.iamexpat.nl/lifestyle/lifestyle-news/new-app-flushiest-lets-users-find-and-rent-toilets-locals-amsterdam?mc_cid=1322908b29&mc_eid=uniqidnew app flushiest lets users find and rent toilets from locals in amsterdam (https://www.iamexpat.nl/lifestyle/lifestyle-news/new-app-flushiest-lets-users-find-and-rent-toilets-locals-amsterdam?mc_cid=1322908b29&mc_eid=uniqid)https://www.iamexpat.nl/lifestyle/lifestyle-news/krispy-kreme-open-first-stores-netherlands?mc_cid=1322908b29&mc_eid=uniqidkrispy kreme to open first stores in the netherlands (https://www.iamexpat.nl/lifestyle/lifestyle-news/krispy-kreme-open-first-stores-netherlands?mc_cid=1322908b29&mc_eid=uniqid)see more stories (https://www.iamexpat.nl/dutch-news-articles?mc_cid=1322908b29&mc_eid=uniqid)newsletter imagestay in the loop!the iamexpat newsletters condense our best and most important content into bitesize briefings. subscribe and set your preferences to get the stuff you want delivered straight to your inbox.explore all newsletters (https://www.iamexpat.nl/newsletters?mc_cid=1322908b29&mc_eid=uniqid)find everything you need on iamexpatfind a job (https://www.iamexpat.nl/career/jobs-netherlands?mc_cid=1322908b29&mc_eid=uniqid) https://www.iamexpat.nl/career/jobs-netherlands?mc_cid=1322908b29&mc_eid=uniqidfind a house or apartment (https://www.iamexpat.nl/housing/rental-properties?mc_cid=1322908b29&mc_eid=uniqid) https://www.iamexpat.nl/housing/rental-properties?mc_cid=1322908b29&mc_eid=uniqidsee all expat services (https://www.iamexpat.nl/expat-services?mc_cid=1322908b29&mc_eid=uniqid) https://www.iamexpat.nl/expat-services?mc_cid=1322908b29&mc_eid=uniqidsee all upcoming webinars (https://www.iamexpat.nl/iamexpat-webinars?mc_cid=1322908b29&mc_eid=uniqid) https://www.iamexpat.nl/iamexpat-webinars?mc_cid=1322908b29&mc_eid=uniqidfairs (https://www.iamexpatfair.nl?mc_cid=1322908b29&mc_eid=uniqid) https://www.iamexpatfair.nl?mc_cid=1322908b29&mc_eid=uniqidi am expat logotypei am expat footer logohttps://www.facebook.com/iamexpatnetherlands/?mc_cid=1322908b29&mc_eid=uniqid https://www.instagram.com/iamexpatnl/?mc_cid=1322908b29&mc_eid=uniqid https://www.linkedin.com/company/iamexpat?mc_cid=1322908b29&mc_eid=uniqid https://x.com/iamexpatnl?mc_cid=1322908b29&mc_eid=uniqidiamexpat.nl (https://www.iamexpat.nl/?mc_cid=1322908b29&mc_eid=uniqid) | contact us (https://www.iamexpat.nl/contact?mc_cid=1322908b29&mc_eid=uniqid) | advertise (https://www.iamexpat.nl/advertise?mc_cid=1322908b29&mc_eid=uniqid) | about us (https://www.iamexpat.nl/about-us?mc_cid=1322908b29&mc_eid=uniqid) | join our community (https://www.iamexpat.nl/auth/login?mc_cid=1322908b29&mc_eid=uniqid)if you no longer want to receive these emails, you can unsubscribe here (https://iamexpat.us3.list-manage.com/unsubscribe?u=9e57eafdb39e354bab379c427&id=36b7e61e69&t=b&e=7e2b931655&c=1322908b29) .iamexpat media bv © 2026[created via e-mail received from: newsletter@iamexpat.nl]"""
"""uz""";"""Assalomu alaykum"""
"""en""";"""Hi team I have cancelled my subscription and still got charged for it"""
"""uz""";"""Boldi yopildi"""
"""uz""";"""Телифоним эсдан чикибт"""
"""en""";"""The estimated price and actual price big difference Please check"""
"""ur""";"""Aaslam o Alikum Today i booked a ride. But he call me n says cancell your ride but i urgent need to go haji camp because of vascine. He says cancell i refuse to cancel ride he absuing me very badly and he come on my door step and i go near to car he drive the car very fast without picking me and my old mother. Then i booked another ride to go haji camp i was late because of him. Kindly note my complain regarding absuing. I m waiting your response."""
