chat_user;dialog_str;line;request_text;result;sure_topic;type
string;string;string;string;string;string;string
6950d073f48d95668e0b2a03; driver\nhello yo mony ma balance limit vanera -300dekhako ke hola bujaudinu paryo\n\n operator\nनमस्कार,\n\nम अहिले यो समस्याको बारेमा हेरिरहेको छु र सकेसम्म चाँडो तपाईंलाई सम्पर्क गर्ने छु। \n\n operator\nMaf garnu hola, tara maile pura rupma samasya bujhna sakina. K tapai yo samasyako barema thap byakhya garna saknuhunchha? Screenshot le pani malai dherai madat garnecha.\n\n driver\nyo mony option ma jada tya bichama balance limit vanera dekhako xa tyo ke ko hola bujna sakina maile so\n\n operator\nBalance Limit le tapai le sewa lai tirnuparne adhiktam rakam dekhaucha jun sima samma pugda naya Cash Order haru rokinchan.\n\nPratyek order ko lagi tapai ko balance bata service fee katincha. Balance Limit le tapai ko balance rinatmak bhaye tapai euta nischit sima samma kaam jari rakhna anumati dincha. Yadi tapai le yo sima katnu bhayo bhane tapai le afno balance topup nagaresamma naya Cash Order haru lina saknu hune chaina.\n\nYad rakhnu hos ki Balance ra Balance Limit farak kura hun:\n\nBalance tapai sanga ahile bhayeko rakam ho jun sunya pani huna sakcha.\n\nBalance Limit tapai kaam jari rakhna katisamma rin ma jana saknu huncha bhanne sima ho.\n\nYadi tapai ka thap prashna haru chan bhane hamilai samparka garna saknu huncha.\n\n driver\nkei bujiyana sorry;organisations/yandex/lines/taxi-intl-nepal-driver;kei bujiyana sorry;ne;Drugoe;drivers
6943ec72f48d95668e94eac3; driver\nRide q ati ab keya masla ha jab ride nhi hogi to ham Kam kesi karenge kare kare tak jate han;taxi_intl_pak_driver;Ride q ati ab keya masla ha jab ride nhi hogi to ham Kam kesi karenge kare kare tak jate han;ur;Drugoe;drivers
694233e9f48d95668ee359ee; driver\nEndi yetib kelib olaman deganimda atmen qilib yubordi;intl_uzb_driver;Endi yetib kelib olaman deganimda atmen qilib yubordi;uz;Otzyv_o_passajire_Ne_vysel_ili_otmenil_na_polputi;drivers
6933bcf0f48d95668ea52247; driver\nКеганимда отмен килди;intl_uzb_driver;Кеганимда отмен килди;uz;Otzyv_o_passajire_Ne_vysel_ili_otmenil_na_polputi;drivers
694e4a7af48d95668e4fab2b; driver\nMogesalmebit. Dzalian  shoridan shemomdis shekvetebi da tu sheidzleba 1 kilometris radiusze damiyenet;intl_geo_driver;Mogesalmebit. Dzalian  shoridan shemomdis shekvetebi da tu sheidzleba 1 kilometris radiusze damiyenet;ka;Drugoe;drivers
6958b37ff48d95668ea36f19; driver\nМижоз маст холатекан ушанга атказ қилади устиворликни қаетарин;intl_uzb_driver;Мижоз маст холатекан ушанга атказ қилади устиворликни қаетарин;uz;Otzyv_o_passajire_Nepriatnyj_passajir;drivers
69339e8bf48d95668e63cae9; driver\n🖐️\n\n operator\nAssalomu alaykum!\n\nBiz barchasini tekshirmoqdamiz. Tez orada sizga javob bilan qaytaman.\n\n driver\nVa alaykum assalom\n\n operator\nIltimos aniqlik kiritsangiz, men sizga qanday yordam bera olaman? Siz yuborgan maʼlumotlarni sinchiklab o‘qib chiqdim, ammo maʼlumotlar yetarli emas.\n\n driver\nElenahonim\n\n driver\nBu bepul taksi blokni qachon ochadi\n\n driver\nRimahonim\n\n driver\nAlo\n\n driver\nKimdur bormi\n\n operator\nMen allaqachon tekshiruvni boshladim va hammasini aniqlaganimda sizga xabar beraman.;intl_uzb_driver;Kimdur bormi;uz;Drugoe;drivers
6933d17af48d95668ec67bd9; driver\ncontiunesly long ride skip garexi kina dinu k long ride 8-20km xoto dina sakdainnau aaja sabai parye long nai gareko xuta mula saga 6-8 km prayeko feri ahile pani 8-12-20 samma kina deko muli jaajar ko sag\n\n driver\ntero bau ali xoto ride deuna;organisations/yandex/lines/taxi-intl-nepal-driver;tero bau ali xoto ride deuna;ne;Otzyv_o_passajire_5_celovek_i_bolee;drivers
6937a3d5f48d95668eda3513;;organisations/yandex/lines/taxi-prod-intl-partner-urdu;"DL#3660139974821
sir mry is driver k 12.07.2025 and 12.08.2025 k bonus ni aya chk kr k bta dn.";ur;Drugoe;drivers
694ab089f48d95668edd0951; driver\nमेरो सपइ राइड किलियर होनि;organisations/yandex/lines/taxi-intl-nepal-driver;मेरो सपइ राइड किलियर होनि;ne;Drugoe;drivers
695529f4f48d95668e7c218c;;taxi_intl_bolivia_driver;Sean justo por favor;es;Drugoe;drivers
693fef75f48d95668e7d1cac; driver\nPick up location ha\n\n driver\nJo ride chal rhi h;taxi_intl_pak_driver;Jo ride chal rhi h;ur;Drugoe;drivers
69494de9f48d95668e8b4beb; driver\nSalam niye bloklanib hesab?\n\n operator\nSalam!\n\nMesajınızı gördüm. Müraciətiniz əsasında araşdırma aparmaq lazımdır. Sizə mümkün qədər tez qayıtmağım və sıradakı yerinizi itirməmək üçün bu mesaja cavab yazmamağınız xahiş olunur.\n\n driver\nProfil niye bloklanib?\n\n driver\n?\n\n driver\n?\n\n operator\nSifarişlərdən birində YNH-nin baş verdiyi barədə məlumat almışıq. Nə baş verdiyini məlumat verin.\n\n driver\nHec bir hadise bas vermeyib axi\n\n driver\nZehmet olmasa profili aktiv edin isliye bilim;taxi_intl_aze_driver_premium;Zehmet olmasa profili aktiv edin isliye bilim;az;Drugoe;drivers
694c0816f48d95668e3ace34; driver\nBonsoir voilà un client qui vient annulé une commande parce que je lui dis pourquoi il n'a pas mentionné qu'il avait les bagages il a annulé;intl_civ_driver;Bonsoir voilà un client qui vient annulé une commande parce que je lui dis pourquoi il n'a pas mentionné qu'il avait les bagages il a annulé;fr;Otzyv_o_passajire_Dostavka_ili_Negabaritnyj_gruz;drivers
694cdf65f48d95668e64e65f; driver\nHloo\n\n driver\nBonus kina aayna\n\n operator\nHi,\n \nI've received your request and will thoroughly check all the details. \n\nI'll get back to you with the next step as soon as possible.\n\n operator\nNamaste,\n\nMaile sabai kura patta lagae ra hamro aghillo jawafle tapai ko samasya samadhan navayeko dekhe. Kripaya maaf garnuhos, malai asha cha aba yesto hudaina.\n\nSecurity team le tapaika ride haru jaach gareko thiyo. Kehi order haru jana jani bonus pauna ka lagi gariyeko patta lageko cha. Yesto awasthama sewale swachalit rupma bonus radda garidincha.\n\nMaile pani tapaika order haru manually janch garda yo nirnaya thik bhayeko pushti bhayeko chha. Aagami din haruma bonus pauna ka lagi kripaya tala ka sujhab haru palana garnuhos:\n\n- Jati sakinchha kam order haru cancel wa skip garnu hos.\n- Yadi break chahiyema ‘Busy mode’ set garnuhos, jasle garda order cancel garna naparos.\n- Ride pura bhaye pachi matra ‘Ride complete’ button tap garnu hos, jaba tapai antim gantabyama pugnu huncha.\n- Regular service class ma passenger bina wa Delivery service class ma parcel bina ride nagarnu hos.\n- Aasha chha, yi sujhab le tapailai sahayog puryaune chan.\n\nYadi tapaiko arko kunai prashna cha bhane, kripaya jun sukai bela pani hamilai samparka garnuhos.\n\n driver\nHami Lai kashari tha hunuxa Ra\n\n driver\nTip aayo pni na utu na raaa;organisations/yandex/lines/taxi-intl-nepal-driver;Tip aayo pni na utu na raaa;ne;Drugoe;drivers
693852bef48d95668e636c47; driver\nPasledniy zakazu na tochku prehil na  vakzal  klent atkaz dayot ya sam zastayanku platil 10000 som;intl_uzb_driver;Pasledniy zakazu na tochku prehil na  vakzal  klent atkaz dayot ya sam zastayanku platil 10000 som;ru;Drugoe;drivers
69463136f48d95668ed71a40;;organisations/yandex/lines/taxi-prod-intl-partner-urdu;any update ;en;Tehniceskie_osibki;drivers
